Frequency (Hz)	Level (dB)
5410.217285	-71.148659
5415.600586	-69.935364
5420.983887	-68.768013
5426.367188	-68.490089
5431.750488	-67.084396
5437.133789	-67.096001
5442.517090	-68.191818
5447.900391	-68.878479
5453.283691	-70.608192
5458.666992	-71.072571
5464.050293	-69.409569
5469.433594	-69.548698
5474.816895	-66.892296
5480.200195	-68.796440
5485.583496	-70.318642
5490.966797	-70.138763
5496.350098	-68.367577
5501.733398	-69.420494
5507.116699	-70.320969
5512.500000	-70.003693
5517.883301	-66.956528
5523.266602	-66.419922
5528.649902	-66.259872
5534.033203	-68.402657
5539.416504	-68.736099
5544.799805	-68.114265
5550.183105	-69.550407
5555.566406	-67.576591
5560.949707	-68.604637
5566.333008	-70.089478
5571.716309	-70.203194
5577.099609	-67.816727
5582.482910	-66.035942
5587.866211	-67.358536
5593.249512	-67.590706
5598.632812	-69.090141
5604.016113	-67.952126
5609.399414	-67.201736
5614.782715	-67.203461
5620.166016	-66.651245
5625.549316	-65.406670
5630.932617	-63.038361
5636.315918	-63.962379
5641.699219	-66.332985
5647.082520	-67.629433
5652.465820	-67.845818
5657.849121	-67.588127
5663.232422	-65.109863
5668.615723	-64.102478
5673.999023	-65.404694
5679.382324	-67.145065
5684.765625	-66.682571
5690.148926	-66.253975
5695.532227	-66.382149
5700.915527	-66.952545
5706.298828	-68.259560
5711.682129	-67.572250
5717.065430	-65.095680
5722.448730	-62.983398
5727.832031	-62.523830
5733.215332	-62.492748
5738.598633	-64.700089
5743.981934	-64.672722
5749.365234	-65.406036
5754.748535	-65.249939
5760.131836	-65.681686
5765.515137	-64.563248
5770.898438	-64.441856
5776.281738	-64.146812
5781.665039	-64.025932
5787.048340	-66.490089
5792.431641	-65.752274
5797.814941	-62.756203
5803.198242	-64.165009
5808.581543	-66.975891
5813.964844	-66.035469
5819.348145	-65.716331
5824.731445	-65.420502
5830.114746	-66.093918
5835.498047	-67.490494
5840.881348	-66.872360
5846.264648	-63.729969
5851.647949	-64.719185
5857.031250	-67.462791
5862.414551	-66.107735
5867.797852	-65.747307
5873.181152	-65.239456
5878.564453	-63.608215
5883.947754	-66.967247
5889.331055	-66.960800
5894.714355	-66.092606
5900.097656	-66.200516
5905.480957	-65.561935
5910.864258	-65.762062
5916.247559	-65.387047
5921.630859	-64.408806
5927.014160	-66.033447
5932.397461	-65.522057
5937.780762	-64.505432
5943.164062	-62.375130
5948.547363	-62.155575
5953.930664	-62.830215
5959.313965	-62.452419
5964.697266	-63.517094
5970.080566	-64.830978
5975.463867	-63.800362
5980.847168	-62.056450
5986.230469	-63.535263
5991.613770	-64.022369
5996.997070	-63.240101
6002.380371	-65.644958
6007.763672	-63.254551
6013.146973	-62.903702
6018.530273	-64.638260
6023.913574	-67.447792
6029.296875	-64.400314
6034.680176	-60.537006
6040.063477	-62.054634
6045.446777	-63.206150
6050.830078	-61.778698
6056.213379	-59.381481
6061.596680	-58.883152
6066.979980	-58.624672
6072.363281	-59.935776
6077.746582	-60.808414
6083.129883	-61.540932
6088.513184	-60.630798
6093.896484	-61.373737
6099.279785	-60.589993
6104.663086	-60.683811
6110.046387	-59.986267
6115.429688	-60.250992
6120.812988	-60.491135
6126.196289	-61.749401
6131.579590	-59.993423
6136.962891	-59.382694
6142.346191	-59.801037
6147.729492	-61.103249
6153.112793	-62.070656
6158.496094	-61.776245
6163.879395	-60.782768
6169.262695	-60.587830
6174.645996	-59.285915
6180.029297	-58.911278
6185.412598	-59.539654
6190.795898	-58.037735
6196.179199	-56.562084
6201.562500	-56.194664
6206.945801	-56.054413
6212.329102	-56.626488
6217.712402	-57.604126
6223.095703	-57.780048
6228.479004	-57.360695
6233.862305	-57.180656
6239.245605	-55.946014
6244.628906	-55.250275
6250.012207	-57.345020
6255.395508	-56.120033
6260.778809	-57.149326
6266.162109	-59.460388
6271.545410	-58.326473
6276.928711	-59.538097
6282.312012	-59.373627
6287.695312	-58.710262
6293.078613	-56.530437
6298.461914	-55.585773
6303.845215	-56.441525
6309.228516	-56.632378
6314.611816	-55.304153
